Feature ID,Domain,Phylum,Class,Order,Family,Genus,species
27fe9613ed115d50b332ce96aa905fd8,Bacteria,Firmicutes,Clostridia,Unassigned,Unassigned,Unassigned,Unassigned
36133f88b5844e03c0e3717645172e5d,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,uncultured_planctomycete
7ead17a076e7b7b419bf50abe7eee3f4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Unassigned
b5956402a24a9153484f4249effcec18,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Unassigned
f192f3b9a8b7c1eede72877e511aef33,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
e5d5a60346e0819d46722c14b655238f,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Oscillatoriales_cyanobacterium
157a54dc0a0d279dde7d1a14816248b9,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
745c39aae97a50b799a5a46e126d8c9c,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Unassigned,Unassigned
7021d8d56277291858378fecfa7a131c,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Unassigned
b7877394ce843e89edaa2e831d4cb138,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Rhynchosporium_secalis
63afe8e6aac58bf0d670a82ca5bc574c,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Unassigned,Unassigned
ef37143e5371816457c161afe0263af1,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Pseudomuriella_schumacherensis
3d008a07a63e01193561eb4f27931678,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
06800834b26574b7f22bda68b3d29c2f,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,Unassigned
d12ca520b52c322f9e28c2f493354e01,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
1c7843baf6fa610f6910de195f1b0bd5,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,Unassigned
e72e5ef778e37885bf49ff8c1ef5f511,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned
08a7ef6cfb6d7b6c97090cbb5a7555c1,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
7fd16a9945d4be01153b275b789c39f5,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Zavarzinella,uncultured_bacterium
3ebe761bfb1238c87195d431f41bf976,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unassigned
adfd1ae74f53d45ae64e93b94f87b90a,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Unassigned,Unassigned
bb2d7e46e3fbed6613408fa7ae56eab5,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,uncultured_bacterium
ddaebe95bb6bee3bffec43486832e623,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Unassigned
adbda4915419b8f4cd4a001a04cdfc02,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Unassigned,Unassigned
e58635da024cba851c640eb384bc8fad,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Unassigned
f963be2062b9a088c922feb4752b2de6,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,Unassigned
2f38f39001cfda87b7b72e0684a07881,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_borealis
869c003d9135f020aff6140d0d9342cc,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Lecanora_strobilina
ea50ab99242e77fd8d897c2c43449f84,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Unassigned
487de539f50da640cd8914cea7821561,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
145e42f90511a48e84b834c7e38f678a,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_nitritireducens
9353e79c40981929df5b3fe39df5d056,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
2dd9e191a81b91117b77df5eac7e6048,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Unassigned
b330f8a2a076802dde5d9c932aaabe7a,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
